sig_id,Ligand,Organism,Celltype.cellline,Dose,Duration,Platform,source
sig_A2M_1_y,A2M,Homo sapiens,PC3 (PC-3) human prostate cancer cell line,na,na,RNA-Seq,LigScape
sig_ACE_1_y,ACE,Homo sapiens,iPSC,na,na,RNA-Seq,LigScape
sig_AGT_1_y,AGT,Homo sapiens,isolated primary adrenocortical cells,10 nM,6h,RNA-Seq,LigScape
sig_AGT_10_y,AGT,Homo sapiens,HEK293 cells transiently tranfected with human angiotensin II receptor type 1 (AT1R),1 nM,24h,RNA-Seq,LigScape
sig_AGT_2_y,AGT,Homo sapiens,isolated primary adrenocortical cells,10 nM,12h,RNA-Seq,LigScape
sig_AGT_3_y,AGT,Homo sapiens,isolated primary adrenocortical cells,10 nM,48h,RNA-Seq,LigScape
sig_AGT_4_y,AGT,Homo sapiens,female human umbilical vein endothelial cells (HUVEC),1 uM,24h,RNA-Seq,LigScape
sig_AGT_5_y,AGT,Homo sapiens,male human umbilical vein endothelial cells (HUVEC),1 uM,24h,RNA-Seq,LigScape
sig_AGT_6_y,AGT,Homo sapiens,HEK293 cells stably tranfected with human angiotensin II receptor type 1 (AT1R),1 nM,6h,RNA-Seq,LigScape
sig_AGT_8_y,AGT,Homo sapiens,engineered human cardiomyocytes,na,2w,RNA-Seq,LigScape
sig_AGT_9_y,AGT,Homo sapiens,HEK293 cells transiently tranfected with human angiotensin II receptor type 1 (AT1R),1 nM,6h,RNA-Seq,LigScape
sig_ALB_1_y,ALB,Homo sapiens,3D human kidney proximal tubule MPS,720 ug/mL,8h,RNA-Seq,LigScape
sig_ALB_2_y,ALB,Homo sapiens,3D human kidney proximal tubule MPS,720 ug/mL,NA,RNA-Seq,LigScape
sig_AMH_1_y,AMH,Homo sapiens,healthy CTRL-myotubes,30ng/ml,16h,RNA-Seq,LigScape
sig_AMH_2_y,AMH,Homo sapiens,PCOS-myotubes,30ng/ml,16h,RNA-Seq,LigScape
sig_ANGPTL3_1_y,ANGPTL3,Homo sapiens,Liver_Hepatocyte/HepG2,na,12h (exposure to vehicle control),RNA-Seq,LigScape
sig_ANGPTL3_2_y,ANGPTL3,Homo sapiens,immortalized human hepatocyte (IHH)/PTA-5565TM,na,na,RNA-Seq,LigScape
sig_ANOS1_1_y,ANOS1,Homo sapiens,induced pluripotent stem cells (iPSCs),na,na,RNA-Seq,LigScape
sig_ANXA1_1_y,ANXA1,Homo sapiens,Peripheral blood-derived Primary Lymphoid cells  ILC2s,na,na,RNA-Seq,LigScape
sig_ANXA2_1_y,ANXA2,Homo sapiens,kidney proximal tubule_HK-2,na,na,RNA-Seq,LigScape
sig_APOE_1_y,APOE,Homo sapiens,Human bronchial cytologic brushings,500 nM,24h,RNA-Seq,LigScape
sig_APP_1_y,APP,Homo sapiens,human fetal forebrain-derived_hNS1 cells,4μg,differentation day4,RNA-Seq,LigScape
sig_APP_2_y,APP,Homo sapiens,iPSC-derived neurons,na,na,RNA-Seq,LigScape
sig_B2M_1_y,B2M,Homo sapiens,cervix_HeLa cells,na,48h,RNA-Seq,LigScape
sig_B2M_2_y,B2M,Homo sapiens,glioblastoma_glioma stem cells_cellline4121,na,na,RNA-Seq,LigScape
sig_B2M_3_y,B2M,Homo sapiens,glioblastoma_glioma stem cells_cellline3264,na,na,RNA-Seq,LigScape
sig_BMP5_1_y,BMP5,Homo sapiens,colon_HT-29 cells,na,72h,RNA-Seq,LigScape
sig_BMP5_2_y,BMP5,Homo sapiens,human nail matrix keratinocytes (NMKs),100ng/ml,24h_48h,RNA-Seq,LigScape
sig_BMP5_3_y,BMP5,Homo sapiens,human nail matrix keratinocytes (NMKs),500ng/ml,24h_48h,RNA-Seq,LigScape
sig_BMP5_4_y,BMP5,Homo sapiens,human nail matrix keratinocytes (NMKs),500ng/ml,24h_48h,RNA-Seq,LigScape
sig_BTLA_1_y,BTLA,Homo sapiens,tumor cells A549,na,na,RNA-Seq,LigScape
sig_BTLA_2_y,BTLA,Homo sapiens,PBMC_NC,10 μg/mL,12h,RNA-Seq,LigScape
sig_BTLA_3_y,BTLA,Homo sapiens,PBMC_CHB,10 μg/mL,12h,RNA-Seq,LigScape
sig_BTLA_4_y,BTLA,Homo sapiens,PBMC_HBVACLF,10 μg/mL,12h,RNA-Seq,LigScape
sig_C5_1_y,C5,Homo sapiens,Atherosclerotic carotid plaques,10 μg/ml,6h,RNA-Seq,LigScape
sig_C5_2_y,C5,Homo sapiens,PMA-differentiated THP-1 cells (WT),50 ng/mL,6h,RNA-Seq,LigScape
sig_C5_3_y,C5,Homo sapiens,monocyte-derived dendritic cells,10nM,2h,RNA-Seq,LigScape
sig_CALCA_1_y,CALCA,Homo sapiens,tongue mucosa_human OSCC cell line cal27_culture media: high glucose DMEM,10 nM,24h,RNA-Seq,LigScape
sig_CALCA_2_y,CALCA,Homo sapiens,tongue mucosa_human OSCC cell line cal27_culture media: glucose-deprived DMEM,10 nM,24h,RNA-Seq,LigScape
sig_CALCA_3_y,CALCA,Homo sapiens,tongue mucosa_human OSCC cell line cal27_culture media: high glucose DMEM with 2-DG,10 nM,24h,RNA-Seq,LigScape
sig_CALR_1_y,CALR,Homo sapiens,MDA-MB-231,na,na,RNA-Seq,LigScape
sig_CCL26_1_y,CCL26,Homo sapiens,adenocarcinomic human alveolar basal epithelial cells/A549,1 µg,48h,RNA-Seq,LigScape
sig_CCL5_1_y,CCL5,Homo sapiens,hepatoma cell/Huh7,100ng/ml,24h,RNA-Seq,LigScape
